date,montant,categorie,marchand
2026-02-20,70.30,Loisirs & divers,Cadeau anniv
2026-02-21,9.99,Loisirs & divers,Kindle Unlimited
2026-02-22,15.00,Tech & outils dev,Figma Pro
2026-02-23,12.45,Restos & cafés,Boulangerie Lhuillier
2026-02-24,15.38,Restos & cafés,Starbucks Tours
2026-02-24,2.99,Tech & outils dev,iCloud 200 Go
2026-02-25,23.55,Santé & sport,Decathlon Tours
2026-02-26,13.03,Restos & cafés,Starbucks Tours
2026-02-26,44.23,Tech & outils dev,OVH domaine .fr
2026-02-27,15.43,Restos & cafés,La Souris Gourmande
2026-02-28,6.72,Tech & outils dev,Anthropic API
2026-03-01,3.50,Transport,Vélociti Tours
2026-03-01,6.38,Finance,Bourse Direct ordre
2026-03-02,9.84,Restos & cafés,Café Méo
2026-03-02,29.99,Santé & sport,Basic-Fit Premium
2026-03-03,720.00,Logement & factures,Loyer studio Tours
2026-03-03,75.45,Courses,Lidl
2026-03-03,24.38,Transport,Péages Vinci Autoroutes
2026-03-03,76.04,Santé & sport,Pharmacie centrale
2026-03-05,19.00,Tech & outils dev,Claude Pro
2026-03-06,17.99,Loisirs & divers,Spotify Famille
2026-03-07,22.00,Tech & outils dev,ChatGPT Plus
2026-03-08,29.99,Logement & factures,Free Box Pop
2026-03-08,15.99,Logement & factures,Free Mobile
2026-03-08,21.19,Restos & cafés,Boulangerie Lhuillier
2026-03-08,65.75,Loisirs & divers,FNAC
2026-03-09,64.04,Courses,Biocoop
2026-03-09,30.40,Restos & cafés,Starbucks Tours
2026-03-09,23.32,Restos & cafés,La Souris Gourmande
2026-03-09,20.95,Transport,Péages Vinci Autoroutes
2026-03-09,7.99,Santé & sport,Strava Premium
2026-03-09,22.04,Santé & sport,Decathlon Tours
2026-03-10,12.27,Restos & cafés,Le Café Leffe
2026-03-10,10.00,Tech & outils dev,GitHub Copilot Pro
2026-03-11,42.20,Transport,Parking Centre Tours
2026-03-11,8.00,Finance,Substack The Macro Compass
2026-03-12,53.45,Courses,Picard
2026-03-12,21.60,Restos & cafés,Uber Eats
2026-03-12,66.22,Transport,Bolt
2026-03-12,20.00,Tech & outils dev,Cursor Pro
2026-03-13,50.13,Santé & sport,Kinésithérapeute
2026-03-13,14.99,Loisirs & divers,Netflix Standard
2026-03-14,20.00,Tech & outils dev,Vercel Pro
2026-03-14,57.02,Loisirs & divers,Cinéma CGR Tours
2026-03-16,53.47,Loisirs & divers,Cinéma CGR Tours
2026-03-17,6.99,Espace & astronomie,Nebula
2026-03-18,1099.00,Tech & outils dev,Apple Store iPhone
2026-03-18,46.32,Transport,Péages Vinci Autoroutes
2026-03-18,10.00,Tech & outils dev,Notion Plus
2026-03-18,1.66,Finance,Trade Republic ordre
2026-03-19,53.83,Courses,Carrefour Tours
2026-03-19,5.99,Espace & astronomie,Curiosity Stream
2026-03-19,6.26,Finance,Trade Republic ordre
2026-03-21,10.71,Transport,Total Énergies
2026-03-21,6.70,Finance,Eyrolles livre Bourse
2026-03-21,9.99,Loisirs & divers,Kindle Unlimited
2026-03-22,11.20,Restos & cafés,La Pizza Cosy
2026-03-22,11.80,Transport,Péages Vinci Autoroutes
2026-03-22,15.00,Tech & outils dev,Figma Pro
2026-03-22,67.73,Loisirs & divers,Decathlon vêtements
2026-03-23,34.50,Loisirs & divers,Librairie Le Livre
2026-03-24,20.72,Restos & cafés,Starbucks Tours
2026-03-24,2.99,Tech & outils dev,iCloud 200 Go
2026-03-24,34.78,Tech & outils dev,OVH domaine .fr
2026-03-24,38.37,Santé & sport,Decathlon Tours
2026-03-26,58.76,Courses,Lidl
2026-03-26,14.44,Restos & cafés,Boulangerie Lhuillier
2026-03-26,11.99,Restos & cafés,Boulangerie Lhuillier
2026-03-26,13.06,Transport,SNCF Connect
2026-03-26,30.62,Santé & sport,Nutripure
2026-03-27,16.79,Restos & cafés,Uber Eats
2026-03-28,26.20,Tech & outils dev,Anthropic API
2026-04-01,11.24,Restos & cafés,La Souris Gourmande
2026-04-01,3.50,Transport,Vélociti Tours
2026-04-02,29.99,Santé & sport,Basic-Fit Premium
2026-04-02,9.08,Finance,Investopedia book
2026-04-03,720.00,Logement & factures,Loyer studio Tours
2026-04-03,12.33,Restos & cafés,Uber Eats
2026-04-03,22.04,Restos & cafés,La Pizza Cosy
2026-04-03,27.54,Tech & outils dev,Amazon hardware
2026-04-03,31.70,Loisirs & divers,FNAC
2026-04-05,17.19,Restos & cafés,Brasserie de l'Univers
2026-04-05,60.90,Transport,Total Énergies
2026-04-05,19.00,Tech & outils dev,Claude Pro
2026-04-06,17.99,Loisirs & divers,Spotify Famille
2026-04-07,78.55,Courses,Lidl
2026-04-07,22.00,Tech & outils dev,ChatGPT Plus
2026-04-08,29.99,Logement & factures,Free Box Pop
2026-04-08,15.99,Logement & factures,Free Mobile
2026-04-08,75.58,Courses,Marché des Halles
2026-04-09,36.35,Transport,Total Énergies
2026-04-09,7.99,Santé & sport,Strava Premium
2026-04-10,10.00,Tech & outils dev,GitHub Copilot Pro
2026-04-11,21.99,Restos & cafés,Boulangerie Lhuillier
2026-04-11,27.85,Restos & cafés,La Pizza Cosy
2026-04-11,8.00,Finance,Substack The Macro Compass
2026-04-11,65.96,Loisirs & divers,Sephora
2026-04-12,14.66,Restos & cafés,La Souris Gourmande
2026-04-12,20.00,Tech & outils dev,Cursor Pro
2026-04-13,14.99,Loisirs & divers,Netflix Standard
2026-04-14,58.87,Courses,Picard
2026-04-14,20.00,Tech & outils dev,Vercel Pro
2026-04-15,59.53,Logement & factures,EDF
2026-04-15,51.21,Loisirs & divers,COS
2026-04-17,6.99,Espace & astronomie,Nebula
2026-04-18,71.78,Courses,Picard
2026-04-18,19.36,Restos & cafés,Le Café Leffe
2026-04-18,20.70,Restos & cafés,Boulangerie Lhuillier
2026-04-18,10.00,Tech & outils dev,Notion Plus
2026-04-19,5.99,Espace & astronomie,Curiosity Stream
2026-04-20,33.29,Logement & factures,Veolia eau
2026-04-21,9.99,Loisirs & divers,Kindle Unlimited
2026-04-21,58.11,Loisirs & divers,Sephora
2026-04-22,15.00,Tech & outils dev,Figma Pro
2026-04-23,75.35,Loisirs & divers,Librairie Le Livre
2026-04-24,74.06,Courses,Biocoop
2026-04-24,2.99,Tech & outils dev,iCloud 200 Go
2026-04-24,35.26,Santé & sport,Cabinet ostéopathe
2026-04-25,34.47,Tech & outils dev,Amazon hardware
2026-04-26,27.87,Restos & cafés,Café Méo
2026-04-26,35.35,Transport,Parking Centre Tours
2026-04-27,51.42,Courses,Lidl
2026-04-28,31.25,Restos & cafés,La Pizza Cosy
2026-04-28,8.56,Tech & outils dev,Anthropic API
2026-04-28,37.68,Santé & sport,Decathlon Tours
2026-04-28,3.64,Finance,Trade Republic ordre
2026-05-01,3.50,Transport,Vélociti Tours
2026-05-01,58.59,Santé & sport,Pharmacie centrale
2026-05-02,19.08,Restos & cafés,Uber Eats
2026-05-02,29.99,Santé & sport,Basic-Fit Premium
2026-05-03,720.00,Logement & factures,Loyer studio Tours
2026-05-03,17.39,Restos & cafés,La Souris Gourmande
2026-05-03,5.97,Finance,Fnac livre finance
2026-05-04,74.07,Courses,Marché des Halles
2026-05-04,14.98,Restos & cafés,La Pizza Cosy
2026-05-05,14.63,Restos & cafés,Uber Eats
2026-05-05,19.00,Tech & outils dev,Claude Pro
2026-05-05,37.81,Santé & sport,Decathlon Tours
2026-05-06,17.99,Loisirs & divers,Spotify Famille
2026-05-07,22.00,Tech & outils dev,ChatGPT Plus
2026-05-07,3.32,Finance,Trade Republic ordre
2026-05-08,29.99,Logement & factures,Free Box Pop
2026-05-08,15.99,Logement & factures,Free Mobile
2026-05-09,20.26,Restos & cafés,Boulangerie Lhuillier
2026-05-09,7.99,Santé & sport,Strava Premium
2026-05-09,39.72,Santé & sport,Doctolib consultation
2026-05-10,16.10,Restos & cafés,Uber Eats
2026-05-10,10.00,Tech & outils dev,GitHub Copilot Pro
2026-05-11,64.37,Courses,Marché des Halles
2026-05-11,8.00,Finance,Substack The Macro Compass
2026-05-12,13.81,Restos & cafés,La Souris Gourmande
2026-05-12,18.02,Transport,Péages Vinci Autoroutes
2026-05-12,20.00,Tech & outils dev,Cursor Pro
2026-05-13,71.59,Courses,Lidl
2026-05-13,14.99,Loisirs & divers,Netflix Standard
2026-05-14,69.91,Transport,Péages Vinci Autoroutes
2026-05-14,20.00,Tech & outils dev,Vercel Pro
2026-05-16,16.85,Restos & cafés,Boulangerie Lhuillier
2026-05-17,6.99,Espace & astronomie,Nebula
2026-05-18,14.28,Restos & cafés,Uber Eats
2026-05-18,10.00,Tech & outils dev,Notion Plus
2026-05-19,59.94,Transport,Total Énergies
2026-05-19,5.99,Espace & astronomie,Curiosity Stream
2026-05-19,60.21,Loisirs & divers,Sephora
2026-05-21,9.99,Loisirs & divers,Kindle Unlimited
2026-05-22,15.00,Tech & outils dev,Figma Pro
2026-05-22,106.06,Tech & outils dev,Backmarket
2026-05-22,33.30,Loisirs & divers,Cinéma CGR Tours
2026-05-24,2.99,Tech & outils dev,iCloud 200 Go
2026-05-24,55.19,Loisirs & divers,Librairie Le Livre
2026-05-25,72.56,Courses,Lidl
2026-05-25,18.54,Restos & cafés,Starbucks Tours
2026-05-25,44.61,Loisirs & divers,Sephora
2026-05-27,63.50,Tech & outils dev,Backmarket
2026-05-28,54.44,Courses,Carrefour Tours
2026-05-28,12.04,Restos & cafés,Uber Eats
2026-05-28,6.94,Tech & outils dev,Anthropic API
2026-06-01,3.50,Transport,Vélociti Tours
2026-06-02,29.99,Santé & sport,Basic-Fit Premium
2026-06-03,720.00,Logement & factures,Loyer studio Tours
2026-06-03,16.71,Restos & cafés,Boulangerie Lhuillier
2026-06-04,20.30,Restos & cafés,Boulangerie Lhuillier
2026-06-05,31.46,Transport,Total Énergies
2026-06-05,19.00,Tech & outils dev,Claude Pro
2026-06-05,66.87,Tech & outils dev,Anker
2026-06-06,23.59,Transport,Total Énergies
2026-06-06,17.99,Loisirs & divers,Spotify Famille
2026-06-07,64.51,Courses,Biocoop
2026-06-07,22.02,Transport,Péages Vinci Autoroutes
2026-06-07,22.00,Tech & outils dev,ChatGPT Plus
2026-06-08,29.99,Logement & factures,Free Box Pop
2026-06-08,15.99,Logement & factures,Free Mobile
2026-06-08,22.58,Restos & cafés,Starbucks Tours
2026-06-08,16.95,Transport,SNCF Connect
2026-06-09,21.70,Restos & cafés,Boulangerie Lhuillier
2026-06-09,7.99,Santé & sport,Strava Premium
2026-06-09,41.25,Santé & sport,Decathlon Tours
2026-06-10,50.78,Courses,Biocoop
2026-06-10,54.57,Courses,Carrefour Tours
2026-06-10,10.00,Tech & outils dev,GitHub Copilot Pro
2026-06-11,8.00,Finance,Substack The Macro Compass
2026-06-12,74.88,Courses,Lidl
2026-06-12,62.34,Transport,SNCF Connect
2026-06-12,20.00,Tech & outils dev,Cursor Pro
2026-06-12,10.31,Finance,Fnac livre finance
2026-06-13,69.00,Courses,Picard
2026-06-13,17.88,Restos & cafés,Uber Eats
2026-06-13,14.99,Loisirs & divers,Netflix Standard
2026-06-14,13.99,Espace & astronomie,Stellarium Mobile Plus
2026-06-14,21.42,Restos & cafés,Le Café Leffe
2026-06-14,20.00,Tech & outils dev,Vercel Pro
2026-06-15,64.21,Logement & factures,EDF
2026-06-15,64.83,Courses,Lidl
2026-06-15,11.12,Restos & cafés,Café Méo
2026-06-15,5.94,Finance,Trade Republic ordre
2026-06-15,40.95,Loisirs & divers,FNAC
2026-06-17,57.90,Transport,Total Énergies
2026-06-17,6.99,Espace & astronomie,Nebula
2026-06-18,10.00,Tech & outils dev,Notion Plus
2026-06-19,5.99,Espace & astronomie,Curiosity Stream
2026-06-20,16.29,Restos & cafés,Starbucks Tours
2026-06-20,36.04,Santé & sport,Nutripure
2026-06-20,1.29,Finance,Trade Republic ordre
2026-06-20,46.66,Loisirs & divers,Uniqlo
2026-06-21,19.41,Restos & cafés,Boulangerie Lhuillier
2026-06-21,85.17,Tech & outils dev,Apple Store accessoires
2026-06-21,28.27,Santé & sport,Nutripure
2026-06-21,51.65,Santé & sport,Nutripure
2026-06-21,9.99,Loisirs & divers,Kindle Unlimited
2026-06-22,23.98,Restos & cafés,La Pizza Cosy
2026-06-22,15.00,Tech & outils dev,Figma Pro
2026-06-22,24.11,Santé & sport,Dentiste Dr Martin
2026-06-23,26.03,Restos & cafés,Café Méo
2026-06-24,2.99,Tech & outils dev,iCloud 200 Go
2026-06-25,21.46,Espace & astronomie,Observatoire de Tours
2026-06-26,5.89,Finance,Fnac livre finance
2026-06-28,11.94,Restos & cafés,Boulangerie Lhuillier
2026-06-28,11.81,Tech & outils dev,Anthropic API
2026-06-28,7.78,Finance,Trade Republic ordre
2026-07-01,3.50,Transport,Vélociti Tours
2026-07-02,69.84,Courses,Lidl
2026-07-02,22.67,Espace & astronomie,La Maison de l'Astronomie
2026-07-02,29.99,Santé & sport,Basic-Fit Premium
2026-07-03,720.00,Logement & factures,Loyer studio Tours
2026-07-03,42.55,Courses,Lidl
2026-07-03,6.76,Finance,Bourse Direct ordre
2026-07-03,27.95,Loisirs & divers,Librairie Le Livre
2026-07-04,22.23,Espace & astronomie,Observatoire de Tours
2026-07-05,19.00,Tech & outils dev,Claude Pro
2026-07-05,65.68,Loisirs & divers,Sephora
2026-07-05,75.54,Loisirs & divers,Cadeau anniv
